cikey;domain_ref;process_id;revision_tag;creation_date;creator;modify_date;modifier;state;priority;title;status;stage;conversation_id;root_id;parent_id;scope_revision;scope_csize;scope_usize;process_guid;process_type;metadata;ext_string1;ext_string2;ext_int1;test_run_id;at_count_id;at_event_id;at_detail_id
124640145;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:00:45,909000";;"01.09.2013 00:00:46,077000";;5;0;"Ven,Progress,I:1-XDHVP41-NO12V2";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-7a44";"124640145";;1;642;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640151;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:00:54,919000";;"01.09.2013 00:00:56,178000";;9;0;"Ven,O:1-2101790270#3,M:1-YRCNR21-H5E95Z,I:1-YR ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640149-BpInv0-BpSeq2.8-2";"124640149";"124640149";1;900;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640167;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:01:04,795000";;"01.09.2013 00:01:04,885000";;5;0;"Ven,Progress,I:1-XLOL6W1-FER61R";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-79df";"124640167";;1;643;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640171;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:01:05,129000";;"01.09.2013 00:01:05,219000";;5;0;"Ven,Progress,I:1-YZPPYG1-GJH5UX";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-79cf";"124640171";;1;642;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640177;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:01:05,864000";;"01.09.2013 00:01:05,959000";;5;0;"Ven,Progress,I:1-Z4SUJH1-RC3Q1I";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-79b6";"124640177";;1;640;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640163;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:04,511000";;"01.09.2013 00:01:06,026000";;9;0;"Ven,O:1-2031077515#5,M:1-XL91FV1-NMP4O0,I:1-XL ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640161-BpInv0-BpSeq2.8-2";"124640161";"124640161";1;886;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640166;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:04,783000";;"01.09.2013 00:01:06,047000";;9;0;"Ven,O:1-2032360737#3,M:1-XM0JKX1-RHSZXW,I:1-XM ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640165-BpInv0-BpSeq2.8-2";"124640165";"124640165";1;887;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640172;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:05,263000";;"01.09.2013 00:01:06,366000";;9;0;"Ven,O:1-2115836584#1,M:1-YZPPYG1-GJH5UX,I:1-YZ ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640171-BpInv0-BpSeq2.8-2";"124640171";"124640171";1;885;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640174;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:05,457000";;"01.09.2013 00:01:06,797000";;9;0;"Ven,O:1-2122101001#1,M:1-Z3FZM11-NRU21W,I:1-Z3 ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640173-BpInv0-BpSeq2.8-2";"124640173";"124640173";1;889;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640178;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:06,014000";;"01.09.2013 00:01:07,125000";;9;0;"Ven,O:1-2124380573#9,M:1-Z4SUJH1-RC3Q1I,I:1-Z4 ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640177-BpInv0-BpSeq2.8-2";"124640177";"124640177";1;890;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640182;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:01:14,575000";;"01.09.2013 00:01:14,735000";;5;0;"Ven,Progress,I:1-ZAZYUY1-SOH9NG";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-798e";"124640182";;1;641;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640184;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:01:14,805000";;"01.09.2013 00:01:14,929000";;5;0;"Ven,Progress,I:1-ZBH8EV1-RYBFZP";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-7986";"124640184";;1;642;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640185;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:01:14,943000";;"01.09.2013 00:01:15,034000";;5;0;"Ven,Progress,I:1-YXV5RD1-WIGP3S";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-797e";"124640185";;1;642;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640190;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:01:15,287000";;"01.09.2013 00:01:15,380000";;5;0;"Ven,Progress,I:1-ZF49ZR1-Z636E8";"Scope_SiebelActivitiy";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-796d";"124640190";;1;641;1816;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;1;23;0
124640183;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:14,772000";;"01.09.2013 00:01:18,706000";;9;0;"Ven,O:1-2134790458#2,M:1-ZAZYUY1-SOH9NG,I:1-ZA ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640182-BpInv0-BpSeq2.8-2";"124640182";"124640182";2;974;3787;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;3;87;1
124640187;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:15,061000";;"01.09.2013 00:01:16,119000";;9;0;"Ven,O:1-2112731113#3,M:1-YXV5RD1-WIGP3S,I:1-YX ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640185-BpInv0-BpSeq2.8-2";"124640185";"124640185";1;880;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640186;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:15,013000";;"01.09.2013 00:01:18,706000";;9;0;"Ven,O:1-2135595991#2,M:1-ZBH8EV1-RYBFZP,I:1-ZB ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640184-BpInv0-BpSeq2.8-2";"124640184";"124640184";2;975;3787;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;3;87;1
124640198;0;"SiebelActivityFlow";"1.0";"01.09.2013 00:01:16,203000";;"01.09.2013 00:01:18,596000";;9;0;"GlobalId: 374fe5afb60b8622:536a3ade:140d60aa15 ...";"initiated";;"bpel://localhost/default/ExternalActivityFlow~1.0/124640183-BpInv2-BpSeq18.25-1";"124640182";"124640183";2;787;2545;"MD5{d4b2259affa87c543276b552230f14f6}";0;;;;;;2;34;0
124640189;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:15,215000";;"01.09.2013 00:01:16,319000";;9;0;"Ven,O:1-2135347634#4,M:1-ZBBWS21-L8HARU,I:1-ZB ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640188-BpInv0-BpSeq2.8-2";"124640188";"124640188";1;890;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
124640199;0;"SiebelActivityFlow";"1.0";"01.09.2013 00:01:16,373000";;"01.09.2013 00:01:18,589000";;9;0;"GlobalId: 374fe5afb60b8622:536a3ade:140d60aa15 ...";"initiated";;"bpel://localhost/default/ExternalActivityFlow~1.0/124640186-BpInv2-BpSeq18.25-1";"124640184";"124640186";2;792;2545;"MD5{d4b2259affa87c543276b552230f14f6}";0;;;;;;2;34;0
124640200;0;"SiebelUpdateFlow";"1.0";"01.09.2013 00:01:16,383000";;"01.09.2013 00:01:18,479000";;5;0;"GlobalId: 374fe5afb60b8622:536a3ade:140d60aa15 ...";"Update";;"bpel://localhost/default/SiebelActivityFlow~1.0/124640198-BpInv0-BpSeq1.6-1";"124640182";"124640198";3;844;2764;"MD5{c2bf6db6ae318cbe49d06969abb6c937}";0;;;;;;3;60;0
124640201;0;"SiebelUpdateFlow";"1.0";"01.09.2013 00:01:16,536000";;"01.09.2013 00:01:18,477000";;5;0;"GlobalId: 374fe5afb60b8622:536a3ade:140d60aa15 ...";"Update";;"bpel://localhost/default/SiebelActivityFlow~1.0/124640199-BpInv0-BpSeq1.6-1";"124640184";"124640199";3;844;2764;"MD5{c2bf6db6ae318cbe49d06969abb6c937}";0;;;;;;3;60;0
124640193;0;"ExternalActivityFlow";"1.0";"01.09.2013 00:01:15,639000";;"01.09.2013 00:01:16,602000";;9;0;"Ven,O:1-2148528419#2,M:1-ZJ6F4Z1-EW4BQD,I:1-ZJ ...";"Scope_FindOrder";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640191-BpInv0-BpSeq2.8-2";"124640191";"124640191";1;891;3458;"MD5{a7f9824d711ff8988f676680d26d6e37}";0;;;;;;2;81;1
